,기업,연도,자산총계,부채총계,자본총계,매출액,영업이익,당기순이익
82,HDC,2021,"10,651,491,647,775","5,846,684,847,261","4,804,806,800,514","4,779,586,328,802","368,697,035,249","230,227,330,341"
83,HDC,2020,"9,617,140,797,332","5,271,895,147,938","4,345,245,649,394","3,951,863,002,088","544,670,794,788","191,342,520,242"
84,HDC,2019,"4,208,951,127,647","1,857,740,750,416","2,351,210,377,231","1,616,692,249,290","128,121,494,512","275,086,282,251"
85,HDC랩스,2021,"411,391,673,094","145,584,905,941","265,806,767,153","274,579,528,254","9,666,853,635","9,090,959,987"
86,HDC랩스,2020,"217,997,166,279","54,086,835,778","163,910,330,501","260,417,433,929","15,323,582,080","15,668,800,447"
87,HDC랩스,2019,"237,219,484,988","68,592,552,104","168,626,932,884","252,410,792,253","12,952,774,365","-5,896,574,240"
88,HDC현대EP,2021,"582,888,461,623","275,234,382,972","307,654,078,651","859,757,101,927","28,370,561,449","10,285,175,857"
89,HDC현대EP,2020,"524,916,604,534","232,179,895,824","292,736,708,710","689,421,410,227","34,582,862,984","13,794,072,290"
90,HDC현대EP,2019,"547,277,769,174","263,822,644,634","283,455,124,540","835,108,420,965","34,065,370,336","13,170,849,742"
91,HDC현대산업개발,2021,"6,566,377,904,144","3,681,097,259,241","2,885,280,644,903","3,363,905,605,791","273,435,124,620","176,280,916,096"
92,HDC현대산업개발,2020,"6,116,097,910,011","3,373,063,231,937","2,743,034,678,074","3,670,224,980,413","585,721,101,017","220,205,212,182"
93,HDC현대산업개발,2019,"4,409,550,765,094","2,177,817,169,241","2,231,733,595,853","4,216,489,503,536","551,487,293,833","413,669,803,493"
94,HD한국조선해양,2021,"27,293,093,978,000","14,879,338,674,000","12,413,755,304,000","15,493,381,773,000","-1,384,815,777,000","-1,141,204,413,000"
95,HD한국조선해양,2020,"25,244,191,252,000","12,822,965,818,000","12,421,225,434,000","14,903,657,734,000","74,367,134,000","-835,177,677,000"
96,HD한국조선해양,2019,"25,055,372,817,000","12,129,057,655,000","12,926,315,162,000","15,182,553,166,000","290,167,614,000","213,081,106,000"
97,HD현대,2021,"35,815,655,908,000","23,928,156,390,000","11,887,499,518,000","28,158,746,399,000","1,085,411,576,000","186,012,264,000"
98,HD현대,2020,"26,558,952,365,000","15,461,098,130,000","11,097,854,235,000","18,910,981,519,000","-597,108,836,000","-789,719,525,000"
99,HD현대,2019,"25,715,535,189,000","13,830,840,336,000","11,884,694,853,000","26,630,333,352,000","666,593,845,000","115,347,380,000"
100,HD현대건설기계,2021,"3,554,288,235,000","2,006,480,664,000","1,547,807,571,000","3,284,339,623,000","160,708,836,000","126,434,170,000"
101,HD현대건설기계,2020,"3,355,861,001,000","1,768,328,167,000","1,587,532,834,000","2,390,509,794,000","87,436,983,000","8,504,674,000"
102,HD현대건설기계,2019,"3,188,050,894,000","1,610,907,648,000","1,577,143,246,000","2,648,713,592,000","152,121,274,000","50,881,204,000"
103,HD현대인프라코어,2021,"4,782,289,797,735","3,412,465,903,607","1,369,823,894,128","4,593,665,146,349","264,507,805,577","567,835,830,260"
104,HD현대인프라코어,2020,"12,026,886,193,843","7,537,887,589,251","4,488,998,604,592","3,988,103,997,064","264,444,633,845","285,073,683,149"
105,HD현대인프라코어,2019,"11,338,592,981,121","7,071,040,942,862","4,267,552,038,259","4,128,135,890,359","375,434,821,904","395,698,170,996"
106,HD현대일렉트릭,2021,"2,214,970,249,748","1,568,748,135,135","646,222,114,613","1,805,991,746,883","9,736,360,055","-33,686,739,374"
107,HD현대일렉트릭,2020,"2,272,620,339,599","1,593,446,800,528","679,173,539,071","1,811,344,734,384","72,699,092,216","-40,246,346,429"
108,HD현대일렉트릭,2019,"2,256,474,848,477","1,556,258,916,971","700,215,931,506","1,771,133,588,482","-156,694,465,555","-264,300,822,542"
109,HJ중공업,2021,"2,385,236,000,000","1,953,231,000,000","432,005,000,000","1,706,532,000,000","-108,991,000,000","-139,844,000,000"
